NTRK1	Favorable
NTRK2	Unfavorable
MYCN	Unfavorable
ALK	Unfavorable
BRCA1	Unfavorable
MKI67	Cell_cycle
LGR5	Differentiation
DLK1	Differentiation
PROM1	Differentiation
ISL1	Adrenergic
HAND1	Adrenergic
DBH	Adrenergic
PHOX2B	Adrenergic
CHGB	Adrenergic
TH	Adrenergic
PRRX1	Mesenchymal
DCN	Mesenchymal
PDGFRB	Mesenchymal
HTR3A	Bridge
CARTPT	Sympathetic
SOX10	Glial
S100B	Glial
TEK	Endothelial
PECAM1	Endothelial
EPAS1	Hypoxia
CLDN11	Precursor
CHRNA7	Precursor
BCL11A	Precursor
RTTN	Precursor
SOX6	Precursor
MUC3A	Precursor
STAR	Cortex
CYP11B1	Cortex
