#Gene	Risk
MRPL11	highR
DKC1	highR
SAAL1	highR
SNRPF	highR
NONO	highR
MIS18A	highR
CNIH4	highR
RCOR2	highR
WDR74	highR
ELK1	highR
PRMT5	highR
SLC25A5	highR
PRMT5-AS1	highR
RUVBL1	highR
SNRPD1	highR
APEX1	highR
SSR4	highR
GMPS	highR
SNHG16	highR
DCTPP1	highR
C19ORF48	highR
NME1	highR
LRR1	highR
FEN1	highR
AHCY	highR
ALYREF	highR
ANKRD18B	highR
POLE3	highR
PAICS	highR
NPM1	highR
UBE2S	highR
SUV39H2	highR
CCDC86	highR
NAT10	highR
SSRP1	highR
NOA1	highR
UNG	highR
HNRNPC	highR
EXOSC9	highR
CDCA4	highR
HMGB3	highR
ERCC6L	highR
POLR3K	highR
NOB1	highR
RNF113A	highR
FTSJ1	highR
MND1	highR
MRPL3	highR
C4ORF46	highR
NME1-NME2	highR
PDHA1	highR
POLA1	highR
SNORA76	highR
RFC4	highR
RPL22L1	highR
GAR1	highR
RBMX	highR
C17ORF89	highR
SNRPD2	highR
RAB33A	highR
ICT1	highR
NR2C2AP	highR
ORC6	highR
HNRNPD	highR
C14ORF166	highR
H2AFZ	highR
AURKAPS1	highR
SNRPE	highR
TIMM9	highR
MYOZ3	highR
PRDX4	highR
MRPL12	highR
MRPL4	highR
BOD1	highR
TRIAP1	highR
TIMM8A	highR
CDKN3	highR
RAN	highR
SNRPB	highR
RPL38	highR
SLC1A5	highR
ALG3	highR
FANCB	highR
DNAAF2	highR
DANCR	highR
ODC1	highR
PYURF	highR
PIGY	highR
FBL	highR
MCM2	highR
PYCR1	highR
BOD1L2	highR
RRM1	highR
LRRC59	highR
SNHG1	highR
NUDT5	highR
RNASEH2A	highR
C12ORF45	highR
MAFG-AS1	highR
SLC25A5-AS1	highR
RANBP1	highR
EXO1	highR
DDN	highR
MTHFD2L	highR
ACTL6A	highR
LOC152217	highR
POLA2	highR
KXD1	highR
PRPS1	highR
NEIL3	highR
DDX39A	highR
RFWD3	highR
POLE2	highR
SLC16A1	highR
PAM16	highR
MAD2L1	highR
U2AF1	highR
ZNF90	highR
AURKA	highR
PTRH2	highR
CENPA	highR
POLR2H	highR
MRPL9	highR
CNBP	highR
SLC38A5	highR
CKS2	highR
PPP1R14B	highR
HELLS	highR
SMIM7	highR
TRMT112	highR
LYAR	highR
VRK1	highR
RPS13	highR
SIVA1	highR
NUP37	highR
NAF1	highR
CDT1	highR
TRAP1	highR
ATP5G1	highR
FUNDC2	highR
PSMA6	highR
PPAT	highR
NME2	highR
E2F3	highR
STRBP	highR
MYCNOS	highR
FAM72A	highR
BANF1	highR
MRPS30	highR
UXT	highR
TICRR	highR
AEN	highR
ACBD6	highR
CDCA5	highR
BZW2	highR
C19ORF53	highR
TMA16	highR
YARS2	highR
PSMA3	highR
EIF3M	highR
CA5BP1	highR
LOC100289092	highR
C11ORF83	highR
RPL27A	highR
HNRNPAB	highR
MRPL51	highR
SAP30	highR
CCDC34	highR
ERH	highR
NCAN	highR
PDSS1	highR
OSTC	highR
PDHA2	highR
MRPS7	highR
C14ORF169	highR
TEX15	highR
BIRC5	highR
NAA15	highR
TERT	highR
RPL39	highR
WHSC2	highR
BYSL	highR
NDUFAB1	highR
KIF4A	highR
ANAPC11	highR
TEX10	highR
UHRF1	highR
UBE2T	highR
UTP14A	highR
NDUFB11	highR
KDELR1	highR
CHAF1A	highR
LOC100133957	highR
FANCM	highR
FAM72B	highR
MRPS2	highR
MRPS23	highR
NTHL1	highR
LOC650368	highR
SLC30A3	highR
PHB	highR
NHP2	highR
NXT1	highR
NDUFV3	highR
ALKBH2	highR
HNRNPL	highR
PARL	highR
ZNF219	highR
ZNF695	highR
CEP152	highR
TMEM216	highR
RPS15A	highR
SHFM1	highR
DDX54	highR
SNRPA	highR
SFXN4	highR
VKORC1	highR
RPS16	highR
PA2G4P4	highR
CCT3	highR
SLIRP	highR
MRPS34	highR
MCM3	highR
SCFD2	highR
EBP	highR
SLBP	highR
FAM207A	highR
ARMC6	highR
LSM4	highR
LOC286467	highR
C19ORF40	highR
RMI2	highR
DHFR	highR
ZNF443	highR
TAPT1-AS1	highR
ALDH18A1	highR
SSR3	highR
MAZ	highR
TOMM40	highR
RLIM	highR
WDR89	highR
LOC100506465	highR
GINS1	highR
CCDC59	highR
HMGB2	highR
STOML2	highR
ATIC	highR
KARS	highR
TIPIN	highR
PSIMCT-1	highR
PHB2	highR
RBMX2	highR
RPS3A	highR
NPM3	highR
PSMG1	highR
FRG1	highR
CCDC58	highR
UQCRFS1	highR
RPS2	highR
RPS7	highR
TOMM5	highR
POLR2C	highR
NME4	highR
MRPL23	highR
SAC3D1	highR
CSTF1	highR
COX8A	highR
C14ORF2	highR
HINT1	highR
NOP16	highR
PRMT3	highR
FAM83D	highR
OCIAD2	highR
EXOSC2	highR
PALB2	highR
TCEAL8	highR
CCNB1	highR
DSCC1	highR
