#hugo	exprssn_associated_to_larger_survival
SLC25A5	high
LRR1	high
NUP37	high
GMPS	high
DKC1	high
NUDT5	high
CDCA2	high
ACTL6A	high
ELK1	high
MRPL11	high
AURKA	high
FAM83D	high
MND1	high
ELOVL6	high
SLC25A5-AS1	high
CCDC86	high
PPID	high
SSR3	high
SNRPF	high
TMA16	high
C14ORF166	high
SLC1A5	high
C4ORF46	high
CNIH4	high
UHRF1	high
CDK4	high
CCNB1	high
ERCC6L	high
RRM1	high
VRK1	high
PDHA1	high
KXD1	high
EXOSC9	high
E2F3	high
KIF18A	high
SSRP1	high
PSMG1	high
FBL	high
NAA15	high
GAR1	high
PPAT	high
RUVBL1	high
PAICS	high
POLE3	high
CENPN	high
PRMT5	high
CKS2	high
TERT	high
XPOT	high
HMGB3	high
PARPBP	high
KIF4A	high
ODC1	high
OSTC	high
MTFR2	high
HNRNPF	high
ALG3	high
NUP93	high
KDELC1	high
FANCB	high
MRPL4	high
CENPA	high
PCNA-AS1	high
FEN1	high
MAD2L1	high
TBCE	high
DSCC1	high
UTP14A	high
DHFR	high
HNRNPD	high
ANKRD18B	high
CCDC34	high
LSM4	high
SHFM1	high
FTSJ1	high
MRPL16	high
CENPE	high
SUV39H2	high
RANBP1	high
CDK2	high
PRPS1L1	high
SAAL1	high
PLK1	high
PRPS1	high
SLC16A1	high
HELLS	high
CDKN3	high
UQCRFS1	high
MRPL3	high
CDCA4	high
KIF4B	high
FAM72B	high
LLPH	high
MRPS30	high
CPSF3	high
RNASEH2A	high
MGAT2	high
FANCI	high
E2F8	high
DAZAP1	high
GADD45GIP1	high
NOB1	high
PCNA	high
PLK4	high
TRA2B	high
ZNF850	high
STRBP	high
AHCY	high
RAN	high
EXO1	high
PTBP1	high
CEP128	high
NMU	high
DEPDC1B	high
CCNA2	high
HNRNPC	high
PALB2	high
C14ORF169	high
NPM3	high
GINS1	high
SLBP	high
NR2C2AP	high
FAM72A	high
ORC6	high
SCML2	high
TRIP13	high
DCTPP1	high
HNRNPU	high
DHX9	high
PDSS1	high
MIS18A	high
POLR3K	high
MTHFD1	high
HNRNPAB	high
YARS2	high
CDK1	high
GNPNAT1	high
AURKAPS1	high
UGDH	high
FAM207A	high
CEP55	high
TRMT112	high
IRAK1	high
PRMT5-AS1	high
URB2	high
TICRR	high
POLA2	high
MCM2	high
INTS12	high
DLGAP5	high
GART	high
OSTCP2	high
PSAT1	high
FAM72D	high
CDCA5	high
MRPL52	high
NXT2	high
ZNF90	high
XRCC4	high
POLA1	high
TMEM33	high
POLE2	high
BANF1	high
NUDCD2	high
RPP40	high
C19ORF40	high
CCT4	high
UNG	high
CENPH	high
NAA50	high
PMCH	high
PRMT3	high
COX7B	high
JPH1	high
PSMA6	high
CCT5	high
APEX2	high
GPR125	high
CHEK2	high
RFWD3	high
LOC283692	high
CHAF1A	high
H2AFZ	high
LSM14A	high
HNRNPL	high
LOC152217	high
RBBP7	high
METTL13	high
RMI2	high
NIP7	high
QSOX2	high
PRIM2	high
PSMA7	high
SKP2	high
NAF1	high
PDHA2	high
TCF3	high
HILPDA	high
PACRGL	high
BLM	high
MRPS2	high
C19ORF48	high
MCM10	high
MCM3	high
METAP1	high
C12ORF45	high
UBE2S	high
MRPL9	high
TIMM8A	high
BAZ1A	high
C11ORF82	high
WDR74	high
PSMA3	high
MRPL51	high
NEIL3	high
SNRPD1	high
KIF20A	high
PUS7	high
SAC3D1	high
TYMS	high
IPO4	high
TPX2	high
TSEN15	high
MPST	high
SAP30	high
WDR34	high
ELAVL1	high
PTTG3P	high
UTP3	high
ALDH18A1	high
GPN3	high
LMNB2	high
GINS4	high
SMIM7	high
ESRRA	high
PTTG2	high
DDX39A	high
LRRC59	high
PYURF	high
PIGY	high
ALYREF	high
BUB1B	high
PRDX6	high
DPY19L3	high
PIGM	high
NOA1	high
SLC9B1	high
NFATC3	high
EXOSC3	high
NUF2	high
CLP1	high
ABCC4	high
ATP5I	high
APOO	high
HAUS8	high
SLC39A3	high
CDC123	high
GCSH	high
MTHFD2L	high
MIS18BP1	high
IKBIP	high
THAP11	high
SNAPC1	high
NONO	high
LOC341056	high
PBK	high
PTTG1	high
INCENP	high
