#Gene	Cell_type
GAP43	Tumour_cluster_1
PRPH	Tumour_cluster_1
SCG2	Tumour_cluster_1
APLP1	Tumour_cluster_1
NTRK1	Tumour_cluster_1
STMN4	Tumour_cluster_1
NNAT	Tumour_cluster_1
ECEL1	Tumour_cluster_1
VSTM2A	Tumour_cluster_1
OLFM1	Tumour_cluster_1
TH	Tumour_cluster_1
PKIB	Tumour_cluster_1
CELF4	Tumour_cluster_1
DBH	Tumour_cluster_1
MAPT	Tumour_cluster_1
RGS5	Tumour_cluster_1
HMP19	Tumour_cluster_1
PCSK1N	Tumour_cluster_1
ELAVL4	Tumour_cluster_1
FAIM2	Tumour_cluster_1
PTN	Tumour_cluster_1
CADM1	Tumour_cluster_1
SCN9A	Tumour_cluster_1
SNAP25	Tumour_cluster_1
CHGB	Tumour_cluster_1
TUSC3	Tumour_cluster_1
ALCAM	Tumour_cluster_1
CNTFR	Tumour_cluster_1
BEX1	Tumour_cluster_1
CAMK2B	Tumour_cluster_1
ATP6V1G2	Tumour_cluster_1
CRMP1	Tumour_cluster_1
ELAVL2	Tumour_cluster_1
DCX	Tumour_cluster_1
DPYSL3	Tumour_cluster_1
HAND2	Tumour_cluster_1
VSNL1	Tumour_cluster_1
RP3-525N10.2	Tumour_cluster_1
TAGLN3	Tumour_cluster_1
TUBB2A	Tumour_cluster_1
KIF5C	Tumour_cluster_1
MAB21L1	Tumour_cluster_1
NCAM1	Tumour_cluster_1
CNTNAP2	Tumour_cluster_1
NEFL	Tumour_cluster_1
NDRG4	Tumour_cluster_1
ATAT1	Tumour_cluster_1
MAP2	Tumour_cluster_1
GNG3	Tumour_cluster_1
TMOD1	Tumour_cluster_1
RPRM	Tumour_cluster_1
HAND2-AS1	Tumour_cluster_1
UCHL1	Tumour_cluster_1
RBFOX2	Tumour_cluster_1
RAMP1	Tumour_cluster_1
REEP1	Tumour_cluster_1
INA	Tumour_cluster_1
NXPH1	Tumour_cluster_1
SOX15	Tumour_cluster_1
MAOA	Tumour_cluster_1
GFRA3	Tumour_cluster_1
SEZ6L2	Tumour_cluster_1
TSPAN7	Tumour_cluster_1
RAC3	Tumour_cluster_1
RGMB	Tumour_cluster_1
TTC9B	Tumour_cluster_1
KIF21A	Tumour_cluster_1
CHD5	Tumour_cluster_1
TMSB15A	Tumour_cluster_1
CHRNA3	Tumour_cluster_1
TUBB2B	Tumour_cluster_1
KHDRBS3	Tumour_cluster_1
TFAP2B	Tumour_cluster_1
ENO2	Tumour_cluster_1
PCLO	Tumour_cluster_1
MAP1LC3A	Tumour_cluster_1
SCG5	Tumour_cluster_1
SCG3	Tumour_cluster_1
NSG1	Tumour_cluster_1
EBF1	Tumour_cluster_1
GNAO1	Tumour_cluster_1
THRA	Tumour_cluster_1
ZFHX3	Tumour_cluster_1
FAM57B	Tumour_cluster_1
AK1	Tumour_cluster_1
CCND1	Tumour_cluster_1
TSHZ2	Tumour_cluster_1
FSCN1	Tumour_cluster_1
STMN3	Tumour_cluster_1
PMP22	Tumour_cluster_1
SYT1	Tumour_cluster_1
MAP1B	Tumour_cluster_1
KIF1A	Tumour_cluster_1
MAP7	Tumour_cluster_1
RUNDC3A	Tumour_cluster_1
CKB	Tumour_cluster_1
ACOT7	Tumour_cluster_1
PODXL2	Tumour_cluster_1
ELAVL3	Tumour_cluster_1
PHOX2A	Tumour_cluster_1
CHGA	Tumour_cluster_1
PHOX2B	Tumour_cluster_1
HOXC9	Tumour_cluster_1
PNMA2	Tumour_cluster_1
CALY	Tumour_cluster_1
DNER	Tumour_cluster_1
L1CAM	Tumour_cluster_1
PEG10	Tumour_cluster_1
MLLT11	Tumour_cluster_1
SOX11	Tumour_cluster_1
KIF5A	Tumour_cluster_1
STXBP1	Tumour_cluster_1
TUBB3	Tumour_cluster_1
REEP2	Tumour_cluster_1
TCEAL7	Tumour_cluster_1
VAT1	Tumour_cluster_1
MIAT	Tumour_cluster_1
NT5C3B	Tumour_cluster_1
MEIS1	Tumour_cluster_1
CPNE2	Tumour_cluster_1
LRRN3	Tumour_cluster_1
TMEM59L	Tumour_cluster_1
ARL8A	Tumour_cluster_1
CLU	Tumour_cluster_1
CENPV	Tumour_cluster_1
SYT4	Tumour_cluster_1
FKBP1B	Tumour_cluster_1
DOC2B	Tumour_cluster_1
SYT11	Tumour_cluster_1
TMEFF2	Tumour_cluster_1
STMN2	Tumour_cluster_1
ISL1	Tumour_cluster_1
GATA3	Tumour_cluster_1
GAL	Tumour_cluster_1
ATP1A3	Tumour_cluster_1
SFRP1	Tumour_cluster_1
DUSP26	Tumour_cluster_1
DLC1	Tumour_cluster_1
TUSC1	Tumour_cluster_1
DST	Tumour_cluster_1
CRIP2	Tumour_cluster_1
MEG3	Tumour_cluster_1
HMX1	Tumour_cluster_1
QDPR	Tumour_cluster_1
MMD	Tumour_cluster_1
CNRIP1	Tumour_cluster_1
SIX3	Tumour_cluster_1
ATP1B1	Tumour_cluster_1
RND2	Tumour_cluster_1
RBP1	Tumour_cluster_1
GDI1	Tumour_cluster_1
TTLL7	Tumour_cluster_1
PPP1R16A	Tumour_cluster_1
NEFM	Tumour_cluster_1
NREP	Tumour_cluster_1
ACTL6B	Tumour_cluster_1
PRRT2	Tumour_cluster_1
MAPRE3	Tumour_cluster_1
SLC29A4	Tumour_cluster_1
NRCAM	Tumour_cluster_1
CCDC112	Tumour_cluster_1
GDAP1	Tumour_cluster_1
FXYD6	Tumour_cluster_1
KCNQ2	Tumour_cluster_1
DBN1	Tumour_cluster_1
PRKAR2B	Tumour_cluster_1
CADM3	Tumour_cluster_1
CPE	Tumour_cluster_1
SLC18A1	Tumour_cluster_1
DDC	Tumour_cluster_1
SCN3B	Tumour_cluster_1
GOLM1	Tumour_cluster_1
TMEM14A	Tumour_cluster_1
PCBP4	Tumour_cluster_1
RHOU	Tumour_cluster_1
TCAF1	Tumour_cluster_1
H1F0	Tumour_cluster_1
ACHE	Tumour_cluster_1
SORBS2	Tumour_cluster_1
CD24	Tumour_cluster_1
PTPRN	Tumour_cluster_1
HAND1	Tumour_cluster_1
ADCY1	Tumour_cluster_1
RAB3A	Tumour_cluster_1
GNG4	Tumour_cluster_1
PLPPR3	Tumour_cluster_1
TPGS2	Tumour_cluster_1
SRRM3	Tumour_cluster_1
PGM2L1	Tumour_cluster_1
FGF13	Tumour_cluster_1
C16orf45	Tumour_cluster_1
RUNX1T1	Tumour_cluster_1
NPDC1	Tumour_cluster_1
PRKAG2-AS1	Tumour_cluster_1
SYBU	Tumour_cluster_1
ZC2HC1A	Tumour_cluster_1
EPB41L3	Tumour_cluster_1
RIMS2	Tumour_cluster_1
TP53BP1	Tumour_cluster_1
ATP6V0E2	Tumour_cluster_1
RGS9	Tumour_cluster_1
KIF3A	Tumour_cluster_1
CD163L1	Tumour_cluster_1
PTBP2	Tumour_cluster_1
SYP	Tumour_cluster_1
NLRP1	Tumour_cluster_1
AC023115.2	Tumour_cluster_1
FNBP1L	Tumour_cluster_1
TMEM176B	Tumour_cluster_1
TMEM163	Tumour_cluster_1
TRIM36	Tumour_cluster_1
PAFAH1B3	Tumour_cluster_1
GNAI1	Tumour_cluster_1
GSTA4	Tumour_cluster_1
RNF165	Tumour_cluster_1
TMEM176A	Tumour_cluster_1
