#hugo	sublist
CHD3	negative_c
ADRBK2	negative_c
FOXP1	negative_c
ADAMTS10	negative_c
C17ORF85	negative_c
DGKD	negative_c
RAI1	negative_c
IGSF3	negative_c
TMOD2	negative_c
SCN3A	negative_c
MPRIP	negative_c
KLHL17	negative_c
DOC2B	negative_c
CAMSAP3	negative_c
CGNL1	negative_c
UBE2E2	negative_c
CNTFR	negative_c
ANKFY1	negative_c
STARD4-AS1	negative_c
EFNB2	negative_c
LOC728606	negative_c
MCF2L	negative_c
GFRA3	negative_c
LOC100132215	negative_c
AKR1C1	negative_c
ANKS1A	negative_c
LIMK2	negative_c
CHRNE	negative_c
ALDH3A2	negative_c
SEMA6D	negative_c
SSH2	negative_c
LOC100128288	negative_c
MYO18A	negative_c
SLFNL1	negative_c
LOC284100	negative_c
HES4	negative_c
ZZEF1	negative_c
KCNK10	negative_c
BACE1	negative_c
NKAIN1	negative_c
MTERFD2	negative_c
NREP	negative_c
AGRN	negative_c
ZNF608	negative_c
TIAF1	negative_c
PXDN	negative_c
JUP	negative_c
LOC286367	negative_c
NES	negative_c
ULK2	negative_c
RAPGEF6	negative_c
REEP1	negative_c
HIVEP3	negative_c
ZNF710	negative_c
ALCAM	negative_c
SLFNL1-AS1	negative_c
EFCAB5	negative_c
C17ORF107	negative_c
LOC100506700	negative_c
FXYD6	negative_c
P4HTM	negative_c
SRRM4	negative_c
CAMK2B	negative_c
POF1B	negative_c
FGD6	negative_c
PAFAH1B1	negative_c
MYH10	negative_c
FLJ30838	negative_c
C9ORF24	negative_c
NXPH1	negative_c
RAPGEF5	negative_c
ZFHX2	negative_c
LOC100505594	negative_c
FAM20C	negative_c
FBN2	negative_c
AKR1C2	negative_c
KIF5C	negative_c
ENTPD3	negative_c
BAZ2B	negative_c
P2RX3	negative_c
ANKFN1	negative_c
UBAP1L	negative_c
RBFOX2	negative_c
TVP23C-CDRT4	negative_c
AFF3	negative_c
GDPD5	negative_c
CDRT4	negative_c
C5ORF4	negative_c
TIA1	negative_c
LOC415056	negative_c
C7ORF53	negative_c
LOC100130097	negative_c
DAPK1	negative_c
TUBB4A	negative_c
MDGA1	negative_c
ADCY1	negative_c
EPB41L4A	negative_c
C2CD4B	negative_c
TH	negative_c
SCMH1	negative_c
ST3GAL1	negative_c
DOPEY1	negative_c
CACNG7	negative_c
SRGAP3	negative_c
STMN4	negative_c
SMG6	negative_c
FAM134B	negative_c
FLJ35946	negative_c
RBFOX1	negative_c
KCTD21	negative_c
ATF7	negative_c
KIF13A	negative_c
LOC100506965	negative_c
ARHGAP28	negative_c
SGCD	negative_c
TMEM169	negative_c
SFRP1	negative_c
PRICKLE1	negative_c
PIGL	negative_c
CD101	negative_c
ZNF641	negative_c
ZNF521	negative_c
SUN2	negative_c
ACVR2B	negative_c
LINC00340	negative_c
WNT4	negative_c
PKIB	negative_c
TBC1D3F	negative_c
CACNB3	negative_c
PRICKLE2	negative_c
PPFIBP1	negative_c
SYT2	negative_c
ALDH8A1	negative_c
NCAM1	negative_c
SLC22A4	negative_c
ARHGAP21	negative_c
TBC1D3	negative_c
MON2	negative_c
RGMB	negative_c
FXYD6-FXYD2	negative_c
PLXNC1	negative_c
ANKDD1A	negative_c
MINK1	negative_c
EPN2	negative_c
TBC1D3B	negative_c
MATN2	negative_c
UNC5A	negative_c
MSS51	negative_c
SMPDL3A	negative_c
LOC149134	negative_c
PCDH7	negative_c
MKL1	negative_c
C15ORF41	negative_c
CREG2	negative_c
PAR1	negative_c
PLAGL1	negative_c
DPH1	negative_c
NNAT	negative_c
CAMK2G	negative_c
SRCIN1	negative_c
LAMA4	negative_c
NIPSNAP3B	negative_c
